0,1,2
TERRORIST,800,4000
TERRORIST,2000,10500
TERRORIST,3600,18900
TERRORIST,3000,14850
TERRORIST,3450,25100
TERRORIST,4350,25150
TERRORIST,2950,16900
TERRORIST,4650,20850
TERRORIST,4200,18400
TERRORIST,5850,25300
TERRORIST,4200,26250
TERRORIST,5500,22450
CT,800,4000
CT,3950,19750
CT,1950,9650
CT,2750,12050
CT,3900,21100
CT,3050,16450
CT,4400,20100
CT,5800,21250
CT,6400,26850
CT,5100,25150
CT,3650,20500
CT,5150,24450
CT,8850,28600
CT,7700,39650
CT,5400,31650
TERRORIST,10000,50000
TERRORIST,9250,41500
