0,1,2,3,4,5,6,7,8,9,10
3406,"[160.12274169921875, 2369.67626953125, -119.8187255859375]","[0.0, 23.999969482421875]",61.0,12.0,0,False,False,,"[[-657.2713623046875, -755.879638671875, 119.98401641845703], [-1015.0, -808.0, 116.18262481689453], [-857.5065307617188, -738.361328125, 122.18912506103516], [-980.0, -754.0, 120.28125762939453], [-332.0, -754.0, 78.97711181640625]]","[[160.12274169921875, 2369.67626953125, -119.8187255859375], [351.3921203613281, 2352.9423828125, -120.37493896484375], [182.24990844726562, 2439.01171875, -120.8687744140625], [334.3687438964844, 2433.733642578125, -120.26251220703125], [258.1593933105469, 2480.5537109375, -120.97662353515625]]"
3418,"[160.12274169921875, 2369.67626953125, -119.918701171875]","[0.0, 23.999969482421875]",61.0,12.0,0,False,False,,"[[-657.2713623046875, -755.879638671875, 119.88401794433594], [-1015.0, -808.0, 116.0826187133789], [-857.5065307617188, -738.361328125, 122.08911895751953], [-980.0, -754.0, 120.1812515258789], [-332.0, -754.0, 78.87710571289062]]","[[160.12274169921875, 2369.67626953125, -119.918701171875], [351.3921203613281, 2352.9423828125, -120.47491455078125], [182.24990844726562, 2439.01171875, -120.96875], [334.3687438964844, 2433.733642578125, -120.362548828125], [258.1593933105469, 2480.5537109375, -121.07666015625]]"
3430,"[160.12274169921875, 2369.67626953125, -119.918701171875]","[0.0, 23.999969482421875]",61.0,12.0,0,False,False,,"[[-657.2713623046875, -755.879638671875, 119.88401794433594], [-1015.0, -808.0, 116.0826187133789], [-857.5065307617188, -738.361328125, 122.08911895751953], [-980.0, -754.0, 120.1812515258789], [-332.0, -754.0, 78.87710571289062]]","[[160.12274169921875, 2369.67626953125, -119.918701171875], [351.3921203613281, 2352.9423828125, -120.47491455078125], [182.24990844726562, 2439.01171875, -120.96875], [334.3687438964844, 2433.733642578125, -120.362548828125], [258.1593933105469, 2480.5537109375, -121.07666015625]]"
3442,"[160.12274169921875, 2369.67626953125, -119.918701171875]","[0.0, 23.999969482421875]",61.0,12.0,0,False,False,,"[[-657.2713623046875, -755.879638671875, 119.88401794433594], [-1015.0, -808.0, 116.0826187133789], [-857.5065307617188, -738.361328125, 122.08911895751953], [-980.0, -754.0, 120.1812515258789], [-332.0, -754.0, 78.87710571289062]]","[[160.12274169921875, 2369.67626953125, -119.918701171875], [351.3921203613281, 2352.9423828125, -120.47491455078125], [182.24990844726562, 2439.01171875, -120.96875], [334.3687438964844, 2433.733642578125, -120.362548828125], [258.1593933105469, 2480.5537109375, -121.07666015625]]"
5480,"[-538.5411376953125, 1441.2999267578125, -112.218505859375]","[-0.0823974609375, -169.68212890625]",61.0,12.0,0,False,False,,"[[363.9633483886719, -382.714599609375, 60.1875], [-1570.8173828125, 467.96612548828125, 16.821514129638672], [411.72955322265625, -297.774169921875, 42.90625], [221.34396362304688, -237.7867431640625, 9.031251907348633], [617.7977294921875, 265.8173522949219, 0.90250563621521]]","[[-538.5411376953125, 1441.2999267578125, -112.218505859375], [1366.70458984375, 1656.197265625, -6.28460693359375], [-959.06201171875, 2442.826904296875, -27.63482666015625], [1386.2591552734375, 1709.635986328125, -7.67681884765625], [-465.65771484375, 2322.84521484375, -110.10693359375]]"
5492,"[-580.9883422851562, 1431.89208984375, -113.44873046875]","[-0.165130615234375, -168.30711364746094]",61.0,12.0,0,False,False,,"[[361.505859375, -381.345458984375, 56.703125], [-1578.7708740234375, 514.1612548828125, 34.03125], [457.37115478515625, -280.345458984375, 1.421875], [235.1327362060547, -194.2445068359375, 9.031251907348633], [646.3129272460938, 303.0177917480469, 1.0344676971435547]]","[[-580.9883422851562, 1431.89208984375, -113.44873046875], [1370.5164794921875, 1617.1309814453125, -6.2625732421875], [-1000.88623046875, 2460.771728515625, -13.125], [1390.445068359375, 1664.6751708984375, -6.7784423828125], [-507.0321044921875, 2333.52392578125, -109.81744384765625]]"
5500,"[-610.0451049804688, 1430.7550048828125, -114.0594482421875]","[-1.320068359375, -155.98731994628906]",61.0,12.0,0,False,False,,"[[355.0745544433594, -381.28240966796875, 38.765625], [-1583.3262939453125, 545.0760498046875, 32.85233688354492], [478.87298583984375, -270.13287353515625, -0.42181396484375], [248.59320068359375, -167.2666015625, 9.031251907348633], [661.1400756835938, 330.218017578125, 0.9439725875854492]]","[[-610.0451049804688, 1430.7550048828125, -114.0594482421875], [1368.08837890625, 1588.3424072265625, -6.247314453125], [-1028.954833984375, 2472.760986328125, 1.4456391334533691], [1394.970947265625, 1635.6490478515625, -6.58660888671875], [-533.5924682617188, 2347.07373046875, -108.35791015625]]"
5504,"[-624.5801391601562, 1429.235107421875, -114.52001953125]","[-1.320068359375, -155.98731994628906]",61.0,12.0,0,False,False,,"[[351.7139587402344, -381.44769287109375, 25.109375], [-1585.217529296875, 560.5859375, 32.35264205932617], [490.422607421875, -263.4215087890625, -1.39801025390625], [254.6165771484375, -153.56195068359375, 6.626504898071289], [664.84033203125, 344.88873291015625, 0.9169807434082031]]","[[-624.5801391601562, 1429.235107421875, -114.52001953125], [1366.664306640625, 1573.4351806640625, -6.29437255859375], [-1043.510009765625, 2476.847900390625, 7.598972797393799], [1400.069580078125, 1622.02685546875, -6.5931396484375], [-546.5980224609375, 2354.547119140625, -107.3173828125]]"
5512,"[-653.8405151367188, 1430.82861328125, -114.03955078125]","[-1.320068359375, -155.98731994628906]",61.0,12.0,0,False,False,,"[[343.95159912109375, -382.89501953125, 2.13316011428833], [-1588.247802734375, 591.6875, 38.28125], [514.0720825195312, -247.604248046875, -2.28790283203125], [258.3531799316406, -125.94635009765625, 4.135435104370117], [665.8236694335938, 375.1838073730469, 0.8954873085021973]]","[[-653.8405151367188, 1430.82861328125, -114.03955078125], [1363.8140869140625, 1543.57177734375, -6.5308837890625], [-1069.078369140625, 2491.39990234375, 19.259180068969727], [1407.83251953125, 1593.3118896484375, -6.65203857421875], [-573.1652221679688, 2366.471435546875, -105.842041015625]]"
5516,"[-668.4525146484375, 1430.1343994140625, -113.56915283203125]","[-1.320068359375, -155.98731994628906]",61.0,12.0,0,False,False,,"[[337.4297790527344, -386.8980712890625, 1.7635984420776367], [-1590.477783203125, 607.2172241210938, 54.296875], [523.1984252929688, -237.3062744140625, -2.60516357421875], [260.0364074707031, -111.593017578125, 3.0132837295532227], [664.258056640625, 390.6312561035156, 0.8951644897460938]]","[[-668.4525146484375, 1430.1343994140625, -113.56915283203125], [1363.1173095703125, 1528.589111328125, -6.677490234375], [-1082.11474609375, 2499.535400390625, 24.739702224731445], [1409.8470458984375, 1578.4503173828125, -6.696533203125], [-587.2891235351562, 2368.66552734375, -105.707763671875]]"
5524,"[-697.7144165039062, 1429.28173828125, -113.01123046875]","[-1.237335205078125, -155.95985412597656]",61.0,12.0,0,False,False,,"[[320.4502868652344, -400.61553955078125, 0.6946582794189453], [-1601.1048583984375, 637.2761840820312, 76.953125], [532.9456176757812, -213.243896484375, -3.31268310546875], [260.916748046875, -82.534423828125, 1.9315764904022217], [658.85400390625, 421.40277099609375, 0.9059886932373047]]","[[-697.7144165039062, 1429.28173828125, -113.01123046875], [1363.224365234375, 1498.592529296875, -7.0423583984375], [-1108.4532470703125, 2516.337646484375, 34.63386917114258], [1411.629638671875, 1548.5111083984375, -6.74267578125], [-616.6085815429688, 2368.832763671875, -106.21148681640625]]"
5528,"[-712.3110961914062, 1428.440673828125, -112.8643798828125]","[-2.062347412109375, -152.38482666015625]",61.0,12.0,0,False,False,,"[[310.1824035644531, -408.08001708984375, 0.2452545166015625], [-1609.7666015625, 651.1395874023438, 83.59375], [531.8953247070312, -201.1787109375, -3.64501953125], [258.6929016113281, -67.9908447265625, 1.336488962173462], [655.454833984375, 436.65325927734375, 0.9153099060058594]]","[[-712.3110961914062, 1428.440673828125, -112.8643798828125], [1363.70703125, 1483.600341796875, -7.2203369140625], [-1119.869873046875, 2526.076904296875, 38.784908294677734], [1411.7413330078125, 1533.5120849609375, -6.77587890625], [-631.5860595703125, 2368.358642578125, -106.6221923828125]]"
5536,"[-741.4203491210938, 1425.2467041015625, -112.517333984375]","[-2.25494384765625, -151.66969299316406]",61.0,12.0,0,False,False,,"[[285.3335266113281, -420.19866943359375, 0.05011606216430664], [-1627.93798828125, 678.40869140625, 87.515625], [522.1900634765625, -177.398193359375, -4.21966552734375], [252.10218811035156, -40.55767822265625, 2.302762985229492], [647.9866943359375, 466.99725341796875, 0.9377069473266602]]","[[-741.4203491210938, 1425.2467041015625, -112.517333984375], [1364.8271484375, 1453.6212158203125, -7.51007080078125], [-1135.4002685546875, 2550.81103515625, 46.548763275146484], [1415.24365234375, 1504.597412109375, -7.0946044921875], [-661.3749389648438, 2365.309814453125, -106.67364501953125]]"
5540,"[-756.1097412109375, 1424.906494140625, -112.36492919921875]","[-2.25494384765625, -151.66969299316406]",61.0,12.0,0,False,False,,"[[272.3332214355469, -426.419677734375, -0.03125], [-1631.77392578125, 694.473388671875, 84.78125], [515.2808837890625, -165.50048828125, -4.4013671875], [249.741943359375, -31.53936767578125, 3.03125], [644.1669311523438, 482.1481628417969, 0.949371337890625]]","[[-756.1097412109375, 1424.906494140625, -112.36492919921875], [1365.384521484375, 1438.631591796875, -7.73492431640625], [-1140.8055419921875, 2564.823486328125, 51.152984619140625], [1420.2027587890625, 1491.005859375, -7.2899169921875], [-676.4950561523438, 2364.28271484375, -106.871826171875]]"
5548,"[-785.2088623046875, 1421.414306640625, -112.304931640625]","[-2.25494384765625, -151.66969299316406]",61.0,12.0,0,False,False,,"[[249.89111328125, -444.51007080078125, -0.1556396484375], [-1631.9412841796875, 728.194580078125, 69.9375], [506.6698913574219, -138.80908203125, -4.74066162109375], [242.00865173339844, -19.03814697265625, 3.03125], [636.86083984375, 512.5314331054688, 0.9709112644195557]]","[[-785.2088623046875, 1421.414306640625, -112.304931640625], [1365.909912109375, 1408.6383056640625, -7.974853515625], [-1152.681396484375, 2592.600341796875, 59.79878234863281], [1426.9051513671875, 1462.6583251953125, -7.85626220703125], [-707.6299438476562, 2363.95458984375, -105.9761962890625]]"
5552,"[-799.6853637695312, 1421.7718505859375, -112.26123046875]","[-4.4549560546875, -149.2499542236328]",61.0,12.0,0,False,False,,"[[237.7925262451172, -452.8292236328125, -0.13531494140625], [-1630.9598388671875, 745.160400390625, 57.828125], [504.2302551269531, -124.4390869140625, -4.81500244140625], [236.7709503173828, -13.65966796875, 3.0937957763671875], [633.6211547851562, 527.8163452148438, 0.9799695014953613]]","[[-799.6853637695312, 1421.7718505859375, -112.26123046875], [1365.68798828125, 1393.64013671875, -8.20074462890625], [-1161.3397216796875, 2605.122802734375, 63.87325668334961], [1431.6436767578125, 1448.844970703125, -8.1378173828125], [-723.2503051757812, 2364.326904296875, -103.75048828125]]"
5560,"[-819.39697265625, 1421.8140869140625, -112.14752197265625]","[-6.352508544921875, -147.21473693847656]",61.0,12.0,0,False,False,,"[[210.89950561523438, -466.5560302734375, 0.08415031433105469], [-1629.1741943359375, 776.4339599609375, 32.76860427856445], [505.6648864746094, -96.343505859375, -4.8416748046875], [227.87741088867188, -1.02978515625, 5.995174407958984], [629.036376953125, 558.7151489257812, 0.9883534908294678]]","[[-819.39697265625, 1421.8140869140625, -112.14752197265625], [1364.6209716796875, 1363.65966796875, -8.97314453125], [-1179.5689697265625, 2627.583740234375, 92.40625], [1445.15234375, 1422.3641357421875, -9.13568115234375], [-754.4710083007812, 2365.66650390625, -98.3798828125]]"
5564,"[-827.188720703125, 1421.520751953125, -112.1422119140625]","[-6.352508544921875, -147.21473693847656]",61.0,12.0,0,False,False,,"[[196.53964233398438, -472.56146240234375, 0.27253270149230957], [-1628.755126953125, 788.866455078125, 33.321556091308594], [510.5155944824219, -83.317626953125, -4.80059814453125], [224.1024932861328, 5.7949700355529785, 6.498917102813721], [627.8958740234375, 574.2974243164062, 0.9864006042480469]]","[[-827.188720703125, 1421.520751953125, -112.1422119140625], [1365.1341552734375, 1348.994140625, -9.0155029296875], [-1188.768310546875, 2637.756103515625, 106.734375], [1453.0682373046875, 1409.6239013671875, -9.70294189453125], [-770.0723266601562, 2366.525390625, -95.1326904296875]]"
5572,"[-842.7462158203125, 1422.56640625, -112.1612548828125]","[-6.54510498046875, -147.2974853515625]",61.0,12.0,0,False,False,,"[[167.31141662597656, -483.6148681640625, 0.6527931690216064], [-1628.478271484375, 815.8820190429688, 34.572532653808594], [524.674072265625, -58.19525146484375, -4.6806640625], [217.34732055664062, 19.854145050048828, 7.309001922607422], [627.0798950195312, 605.5338745117188, 0.9739055633544922]]","[[-842.7462158203125, 1422.56640625, -112.1612548828125], [1373.5072021484375, 1321.452880859375, -10.1837158203125], [-1211.4676513671875, 2653.62841796875, 126.03125], [1469.916259765625, 1384.8038330078125, -10.4248046875], [-801.1117553710938, 2368.3603515625, -85.40087890625]]"
5576,"[-850.4825439453125, 1423.559814453125, -112.1793212890625]","[-9.900054931640625, -144.8224639892578]",61.0,12.0,0,False,False,,"[[152.5841522216797, -488.834716796875, 0.9532136917114258], [-1628.5223388671875, 830.2706909179688, 34.93379211425781], [532.9957275390625, -45.796630859375, -4.52081298828125], [214.2138214111328, 26.996959686279297, 7.362681865692139], [627.1500854492188, 621.1585083007812, 0.9649853706359863]]","[[-850.4825439453125, 1423.559814453125, -112.1793212890625], [1379.9683837890625, 1308.198486328125, -10.57037353515625], [-1223.8072509765625, 2660.32763671875, 121.984375], [1478.5633544921875, 1372.547119140625, -10.1015625], [-816.103271484375, 2368.83251953125, -76.6787109375]]"
5584,"[-865.9434814453125, 1425.6378173828125, -112.2171630859375]","[-13.529998779296875, -141.87985229492188]",61.0,12.0,0,False,False,,"[[123.00370788574219, -498.91162109375, 1.5032453536987305], [-1628.8201904296875, 860.0828247070312, 35.50907516479492], [550.3935546875, -21.35772705078125, -4.11676025390625], [206.71875, 40.27931213378906, 6.653458595275879], [627.6417846679688, 652.4447021484375, 24.140625]]","[[-865.9434814453125, 1425.6378173828125, -112.2171630859375], [1394.7171630859375, 1282.2117919921875, -10.60577392578125], [-1247.80712890625, 2675.2060546875, 124.2342529296875], [1495.8668212890625, 1348.0401611328125, -8.89813232421875], [-846.0487670898438, 2367.327392578125, -68.21722412109375]]"
5588,"[-873.6795654296875, 1426.6341552734375, -112.23529052734375]","[-13.529998779296875, -141.87985229492188]",61.0,12.0,0,False,False,,"[[108.15839385986328, -503.7855224609375, 1.6460485458374023], [-1629.02978515625, 875.0813598632812, 35.47835922241211], [557.6527099609375, -8.713134765625, -4.06329345703125], [201.86695861816406, 46.16263198852539, 6.9253010749816895], [627.3789672851562, 668.1477661132812, 36.859375]]","[[-873.6795654296875, 1426.6341552734375, -112.23529052734375], [1399.5452880859375, 1268.5869140625, -10.62200927734375], [-1260.88916015625, 2680.327392578125, 130.03125], [1504.4600830078125, 1335.74560546875, -7.9822998046875], [-861.089111328125, 2365.40234375, -69.5072021484375]]"
5596,"[-889.0828857421875, 1428.3076171875, -112.26580810546875]","[-14.437408447265625, -141.66012573242188]",61.0,12.0,0,False,False,,"[[78.10147857666016, -512.3012084960938, 1.5577759742736816], [-1629.514404296875, 905.0774536132812, 35.39513397216797], [567.3076782226562, 18.370187759399414, -3.89501953125], [193.66221618652344, 59.39849853515625, 7.932185649871826], [623.5152587890625, 699.659423828125, 52.9375]]","[[-889.0828857421875, 1428.3076171875, -112.26580810546875], [1403.6961669921875, 1240.05224609375, -10.6434326171875], [-1289.5552978515625, 2683.4130859375, 130.03125], [1512.6171875, 1324.55810546875, -4.719482421875], [-891.76806640625, 2360.003662109375, -64.23663330078125]]"
5600,"[-894.2191162109375, 1427.102294921875, -112.24383544921875]","[-15.014877319335938, -141.60519409179688]",61.0,12.0,0,False,False,,"[[62.7558479309082, -515.2258911132812, 1.474909782409668], [-1629.77001953125, 920.0752563476562, 34.871742248535156], [573.5130004882812, 31.788938522338867, -3.69293212890625], [190.11318969726562, 66.34380340576172, 8.031251907348633], [622.1092529296875, 715.4539184570312, 56.28125]]","[[-894.2191162109375, 1427.102294921875, -112.24383544921875], [1406.341796875, 1225.4619140625, -10.65313720703125], [-1304.661376953125, 2682.225341796875, 130.03125], [1511.5999755859375, 1326.83935546875, -5.1263427734375], [-907.0355224609375, 2356.6826171875, -60.2933349609375]]"
5608,"[-891.008056640625, 1421.3211669921875, -112.1385498046875]","[-13.914871215820312, -144.38232421875]",61.0,12.0,0,False,False,,"[[31.661291122436523, -518.2037353515625, 1.5611553192138672], [-1631.18408203125, 949.9210205078125, 32.97553634643555], [587.686279296875, 58.215816497802734, -3.1802978515625], [183.6219024658203, 80.5277328491211, 8.031255722045898], [632.7911987304688, 742.4932250976562, 53.59375]]","[[-891.008056640625, 1421.3211669921875, -112.1385498046875], [1413.6436767578125, 1196.370361328125, -10.43682861328125], [-1335.5869140625, 2678.498779296875, 130.03125], [1504.7540283203125, 1339.943359375, -7.86474609375], [-937.28857421875, 2348.861083984375, -54.22552490234375]]"
5612,"[-885.5069580078125, 1419.0133056640625, -112.09649658203125]","[-13.914871215820312, -144.38232421875]",61.0,12.0,0,False,False,,"[[16.0467529296875, -518.7617797851562, 1.6044600009918213], [-1632.4261474609375, 964.86669921875, 32.37417221069336], [595.102783203125, 71.25401306152344, -2.9107666015625], [180.56503295898438, 87.70372009277344, 8.031255722045898], [643.8963623046875, 752.7118530273438, 47.578125]]","[[-885.5069580078125, 1419.0133056640625, -112.09649658203125], [1417.8402099609375, 1181.969482421875, -10.2054443359375], [-1351.03369140625, 2676.1474609375, 130.03125], [1499.4295654296875, 1349.382080078125, -8.6324462890625], [-952.3121948242188, 2344.568359375, -51.6112060546875]]"
5620,"[-872.1813354492188, 1415.104736328125, -112.02532958984375]","[-13.914871215820312, -144.38232421875]",61.0,12.0,0,False,False,,"[[-15.20172119140625, -518.896728515625, 1.644784927368164], [-1631.2646484375, 991.9517211914062, 31.800323486328125], [610.0693969726562, 97.19346618652344, -2.5452880859375], [174.66403198242188, 102.1444091796875, 8.031255722045898], [656.184814453125, 780.5247802734375, 26.140625]]","[[-872.1813354492188, 1415.104736328125, -112.02532958984375], [1426.5035400390625, 1153.2476806640625, -9.9388427734375], [-1380.9825439453125, 2677.5361328125, 130.515625], [1486.472900390625, 1371.295654296875, -1.21875], [-982.0862426757812, 2335.606689453125, -43.90484619140625]]"
5624,"[-864.8195190429688, 1413.412109375, -111.9945068359375]","[-9.62506103515625, -152.5774383544922]",61.0,12.0,0,False,False,,"[[-30.82452392578125, -518.6434326171875, 1.6086788177490234], [-1630.4510498046875, 1000.5013427734375, 31.701627731323242], [619.3351440429688, 108.21675872802734, -2.23052978515625], [171.7798614501953, 109.39158630371094, 8.031255722045898], [659.2348022460938, 795.8751831054688, 10.734375]]","[[-864.8195190429688, 1413.412109375, -111.9945068359375], [1430.690185546875, 1138.8438720703125, -9.49554443359375], [-1395.7120361328125, 2679.9609375, 146.6875], [1479.6534423828125, 1382.6697998046875, 14.515625], [-996.4120483398438, 2331.160400390625, -39.04620361328125]]"
5632,"[-849.6278686523438, 1413.5343017578125, -111.9967041015625]","[-2.557403564453125, -161.3774871826172]",61.0,12.0,0,False,False,,"[[-62.050048828125, -517.4322509765625, 1.4822492599487305], [-1626.0667724609375, 1015.4410400390625, 31.810760498046875], [642.4053955078125, 125.5390625, -1.48876953125], [168.20555114746094, 118.38762664794922, 8.031256675720215], [660.3848876953125, 820.7568359375, 0.28592395782470703]]","[[-849.6278686523438, 1413.5343017578125, -111.9967041015625], [1438.7210693359375, 1109.939208984375, -8.7530517578125], [-1425.013427734375, 2686.419677734375, 169.65625], [1466.0147705078125, 1405.4178466796875, 36.609375], [-1025.0159912109375, 2322.114990234375, -28.34442138671875]]"
