0,1,2
TERRORIST,800,4000
TERRORIST,2050,10100
TERRORIST,3650,19800
TERRORIST,3750,18900
TERRORIST,4550,24300
TERRORIST,3400,19350
TERRORIST,2700,12250
TERRORIST,3900,18800
TERRORIST,3800,19400
TERRORIST,3100,14600
TERRORIST,2000,10350
TERRORIST,3700,19750
CT,800,4000
CT,3900,21150
CT,4650,20700
CT,2250,10300
CT,4450,21250
CT,2100,13250
CT,2350,11550
CT,3500,21550
CT,2250,12600
CT,4450,19200
CT,7600,30950
CT,10400,38850
CT,13900,45800
CT,6800,38450
CT,8050,32900
TERRORIST,10000,50000
TERRORIST,6700,41100
TERRORIST,8000,35450
