0,1,2
CT,800,4000
CT,3950,19750
CT,1950,9350
CT,4050,19900
CT,3900,24450
CT,3650,15850
CT,2100,13800
CT,4600,23250
CT,4400,20700
CT,2550,15450
CT,5650,28100
CT,6750,30200
TERRORIST,800,4000
TERRORIST,2200,11000
TERRORIST,2400,13950
TERRORIST,4300,23950
TERRORIST,3650,18900
TERRORIST,7000,24750
TERRORIST,9000,26100
TERRORIST,5600,17500
TERRORIST,4350,18900
TERRORIST,2350,16400
TERRORIST,3700,18750
TERRORIST,5150,25300
TERRORIST,5650,25000
TERRORIST,8300,37550
TERRORIST,7400,29350
CT,10000,50000
CT,8550,40650
